Data_Collection_Midpoint_date,Race_Ethnicity,Age_Group,Point_Estimate,CI_Lower,CI_Upper,Sample_Size
2020 Dec 19 12:00:00 AM,Overall,All Adults (18+),54.1,50.7,50.7,989
2020 Dec 19 12:00:00 AM,Overall,18-49,44,39.1,39.1,458
2020 Dec 19 12:00:00 AM,Overall,50-64,57.1,51.1,51.1,299
2020 Dec 19 12:00:00 AM,Overall,65+,74.7,68.6,68.6,232
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",All Adults (18+),54.1,41.4,41.4,71
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",18-49,51.8,34.7,34.7,39
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",50-64,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",65+,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,Hispanic,All Adults (18+),52.3,42.4,42.4,113
2020 Dec 19 12:00:00 AM,Hispanic,18-49,41.3,29.2,29.2,73
2020 Dec 19 12:00:00 AM,Hispanic,50-64,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,Hispanic,65+,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",All Adults (18+),44,33.8,33.8,103
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",18-49,33.7,19.9,19.9,52
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",50-64,53.4,36,36,35
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",65+,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",All Adults (18+),56.5,52.6,52.6,702
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",18-49,46,40,40,294
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",50-64,54.3,47.3,47.3,216
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",65+,77.1,70.9,70.9,192
2020 Dec 19 12:00:00 AM,Overall,All Adults (18+),52.6,48.2,48.2,1025
2020 Dec 19 12:00:00 AM,Overall,18-49,42.8,36.3,36.3,487
2020 Dec 19 12:00:00 AM,Overall,50-64,58.1,50.5,50.5,280
2020 Dec 19 12:00:00 AM,Overall,65+,70.7,63.6,63.6,258
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",All Adults (18+),57.1,33.1,33.1,74
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",18-49,52.6,22,22,49
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",50-64,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,"Other, Non-Hispanic",65+,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,Hispanic,All Adults (18+),45.2,34.7,34.7,152
2020 Dec 19 12:00:00 AM,Hispanic,18-49,35,22.5,22.5,100
2020 Dec 19 12:00:00 AM,Hispanic,50-64,55.4,35.1,35.1,35
2020 Dec 19 12:00:00 AM,Hispanic,65+,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",All Adults (18+),43.8,32.3,32.3,131
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",18-49,32.2,17.1,17.1,60
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",50-64,59.8,41.1,41.1,44
2020 Dec 19 12:00:00 AM,"Black, Non-Hispanic",65+,NA,NA,NA,<30
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",All Adults (18+),55.6,50.7,50.7,668
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",18-49,45.6,38.2,38.2,278
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",50-64,57,47.6,47.6,187
2020 Dec 19 12:00:00 AM,"White, Non-Hispanic",65+,72.4,64.5,64.5,203
2021 Jan 09 12:00:00 AM,Overall,All Adults (18+),54.1,50.8,50.8,1013
2021 Jan 09 12:00:00 AM,Overall,18-49,44,39.3,39.3,483
2021 Jan 09 12:00:00 AM,Overall,50-64,56,50,50,293
2021 Jan 09 12:00:00 AM,Overall,65+,76.2,70.3,70.3,237
2021 Jan 09 12:00:00 AM,"Other, Non-Hispanic",All Adults (18+),62.2,50.8,50.8,83
2021 Jan 09 12:00:00 AM,"Other, Non-Hispanic",18-49,61.4,46.9,46.9,52
2021 Jan 09 12:00:00 AM,"Other, Non-Hispanic",50-64,NA,NA,NA,<30
2021 Jan 09 12:00:00 AM,"Other, Non-Hispanic",65+,NA,NA,NA,<30
2021 Jan 09 12:00:00 AM,Hispanic,All Adults (18+),41.6,32,32,110
2021 Jan 09 12:00:00 AM,Hispanic,18-49,37.6,26.3,26.3,74
2021 Jan 09 12:00:00 AM,Hispanic,50-64,NA,NA,NA,<30
2021 Jan 09 12:00:00 AM,Hispanic,65+,NA,NA,NA,<30
2021 Jan 09 12:00:00 AM,"Black, Non-Hispanic",All Adults (18+),49.9,39.5,39.5,96
2021 Jan 09 12:00:00 AM,"Black, Non-Hispanic",18-49,41.6,27,27,46
2021 Jan 09 12:00:00 AM,"Black, Non-Hispanic",50-64,57.1,38.6,38.6,31
